Report,Did the study define the aquifer extent in 2D?,"Did the study define the base of the aquifer? If yes, what data was used to define the base of the aquifer?","Did the study define the hydrostratigraphy of the aquifer? If yes, what data was used to define the hydrostratigraphy?","Did the study define subsurface structural controls on groundwater flow? If yes, what data was used to define the structural controls?","Did the study define recharge and discharge zones? If yes, what data was used to define recharge and discharge zones?","Did the study quantify recharge and discharge rates or amounts? If yes, what data was used to quantify recharge and discharge rates or amounts?","Did the study produce water table elevation, depth to water, piezometric surface, or potentiometric surface maps?","Does the study include water chemistry data (e.g. major ions, isotopes, pH, salinity, specific conductance)?","Does the study report specific hydrogeologic properties such as porosity, permeability, storage coefficients, specific storage, specific yield, hydraulic conductivity, and/or transmissivity?",total
Land_Huff_BitterLakes.pdf,1,0,1,1,1,0,0,1,1,6
Multi-tracer_investigation_of_groundwater_residenc.pdf,1,0,1,1,1,0,0,1,0,5
Newman2016_IdentificationHydrochemicalFaciesRAB.pdf,0,1,1,0,0,1,0,1,0,4
ofr_503.pdf,1,1,1,1,1,0,0,1,0,6
ofr_521.pdf,1,1,1,1,1,0,0,1,0,6
ofr_526.pdf,0,0,1,0,0,0,0,1,0,2
DecisonMakers2003.pdf,0,0,1,0,1,0,0,0,0,2
Evaporite_Karst_and_Regional_Ground-Water_Circulat.pdf,1,0,1,0,1,1,0,1,0,5
Gabora2003_A _18O Calibrated Compartmental Mixing Cell Model of Groundwater.pdf,0,0,0,0,1,1,0,1,0,3
Hypogenic Speleogenesis within Seven Rivers Evaporites_ Coffee Ca.pdf,0,0,0,0,0,0,0,0,0,0
J American Water Resour Assoc - 2008 - Land - Seasonal and Long‐Term Variations in Hydraulic Head in a Karstic Aquifer .pdf,1,1,1,1,1,1,1,1,0,8
